ATE	lower	upper	pvalue	metabolite	fdr	y	x
0.0472831329519976	0.00926496345267837	0.0853013024513168	0.0147849653184673	gln_L.e.	0.0508776747723729	Systolic_BP	Production_Strength
0.0635167223795799	-0.0297882898243652	0.156821734583525	0.182127992431614	ala_D.e.	0.295957987701372	Systolic_BP	Production_Strength
0.0145104504396736	-0.0724378849897079	0.101458785869055	0.743599560822048	acgam.e.	0.828582367773139	Systolic_BP	Production_Strength
0.0691148888281126	-0.0290215151393659	0.167251292795591	0.167478569370164	akg.e.	0.283985400236365	Systolic_BP	Production_Strength
0.0455371662036289	-0.0323858363008473	0.123460168708105	0.252053070152455	thr_L.e.	0.373293787440977	Systolic_BP	Production_Strength
0.0373956498191775	-0.0241732647953005	0.0989645644336556	0.233873319924106	lys_L.e.	0.35080997988616	Systolic_BP	Production_Strength
0.0225065182510994	-0.00453802803928172	0.0495510645414805	0.102872296340304	gthrd.e.	0.227095446638029	Systolic_BP	Production_Strength
0.0684106925515554	0.0202642740651594	0.116557111037951	0.0053545836127774	ribflv.e.	0.0261157225471021	Systolic_BP	Production_Strength
-0.037163692439326	-0.0866201424087319	0.01229275753008	0.140804758574281	asp_L.e.	0.25042615459795	Systolic_BP	Production_Strength
0.0463971588379409	0.0159474337928158	0.0768468838830661	0.00282231563168955	asn_L.e.	0.0199921765679665	Systolic_BP	Production_Strength
0.0763595285432628	0.0226159319630493	0.130103125123476	0.00535707129171326	ptrc.e.	0.0261157225471021	Systolic_BP	Production_Strength
0.0906157341360652	0.0350445233807141	0.146186944891416	0.00139364618041712	ocdca.e.	0.0125428156237541	Systolic_BP	Production_Strength
0.00952716820993672	-0.0363170737033578	0.0553714101232313	0.683778903134277	ile_L.e.	0.814029612310968	Systolic_BP	Production_Strength
-0.0656766818536521	-0.123661856057323	-0.00769150764998073	0.0264224620928394	ser_L.e.	0.0792673862785181	Systolic_BP	Production_Strength
0.0741873876094666	0.0178245399150026	0.130550235303931	0.00988589046526934	leu_L.e.	0.0399189381404255	Systolic_BP	Production_Strength
0.0754679277463219	0.0232207287178124	0.127715126774831	0.00463955022146103	thymd.e.	0.0246739716323155	Systolic_BP	Production_Strength
0.0953235563358729	0.0270625724750273	0.163584540196719	0.00620011210489364	cytd.e.	0.0290165246509022	Systolic_BP	Production_Strength
0.0268892413120281	-0.0165434583212821	0.0703219409453382	0.224970707536798	pro_L.e.	0.346336483971123	Systolic_BP	Production_Strength
-0.0118443894246171	-0.114714774131076	0.0910259952818421	0.821459476625018	val_L.e.	0.890838010879786	Systolic_BP	Production_Strength
0.0213430784339428	-0.00633618509922576	0.0490223419671114	0.130712088506102	gua.e.	0.248521444810147	Systolic_BP	Production_Strength
0.0518381700514743	0.017340766292739	0.0863355738102096	0.00322770375572633	glyc3p.e.	0.0209800744122212	Systolic_BP	Production_Strength
0.0480851510110898	-0.0453248903215368	0.141495192343716	0.313003219882452	dad_2.e.	0.441221406340323	Systolic_BP	Production_Strength
-0.115108490967306	-0.200481516072082	-0.0297354658625293	0.00822672135361291	h.e.	0.0370202460912581	Systolic_BP	Production_Strength
0.0427858517321657	-0.000391202505419172	0.0859629059697506	0.0521121820530735	csn.e.	0.124660682935964	Systolic_BP	Production_Strength
-0.0530876585517695	-0.129003011129577	0.022827694026038	0.170498382450031	arg_L.e.	0.284975867809338	Systolic_BP	Production_Strength
0.0419345168783813	-0.000400722366823918	0.0842697561235866	0.0522083202039505	gly.e.	0.124660682935964	Systolic_BP	Production_Strength
0.0744215550794956	0.000961647011988517	0.147881463147003	0.0470753752109665	ala_L.e.	0.122465559613334	Systolic_BP	Production_Strength
0.0213359698867768	-0.00476747564694321	0.0474394154204968	0.109155500988193	his_L.e.	0.236503585474417	Systolic_BP	Production_Strength
0.0153092268890503	-0.0266199226706078	0.0572383764487083	0.474223143448038	trp_L.e.	0.61649008648245	Systolic_BP	Production_Strength
0.0213298612860351	-0.0733455974409368	0.116005320013007	0.658801026804366	ura.e.	0.807711518696585	Systolic_BP	Production_Strength
