abundance,growth_rate,reactions,metabolites,taxon,tradeoff,sample_id
0.00012453369279111372,0.0001044413541813159,2445,1643,Actinomyces,0.6,CON-080
0.15714218724355417,0.1310428290485597,2274,1386,Akkermansia,0.6,CON-080
0.05325023682997069,0.045499720801556086,2650,1613,Alistipes,0.6,CON-080
0.008820708091790074,0.007537729223829613,2034,1491,Anaerostipes,0.6,CON-080
0.5447771124554672,0.4655513557487949,3307,1887,Bacteroides,0.6,CON-080
0.0014989290719432482,0.0012805060127150522,3108,1818,Blautia,0.6,CON-080
0.001056736768886445,0.0009018807172369752,1844,1401,Clostridioides,0.6,CON-080
0.008949869378450387,0.0076485980728301815,2188,1591,Coprococcus,0.6,CON-080
0.009107516076261101,0.0077836602515876695,2368,1614,Dorea,0.6,CON-080
0.012584484438738677,0.01075521323234437,2826,1639,Erysipelatoclostridium,0.6,CON-080
0.025122281597108102,0.021469685228019845,2681,1820,Escherichia,0.6,CON-080
0.010725528563771741,0.009165525810649909,2482,1761,Eubacterium,0.6,CON-080
0.016471046276350036,0.014075496946458271,1986,1472,Faecalibacterium,0.6,CON-080
0.004335952620020247,0.003704629697801523,3174,1970,Lachnoclostridium,0.6,CON-080
0.05436044801690121,0.04024651421390622,1163,1052,Lachnospira,0.6,CON-080
0.006352041015701323,0.0054287147943150055,2526,1594,Odoribacter,0.6,CON-080
0.023386214048223233,0.019985821856259862,2870,1747,Parabacteroides,0.6,CON-080
0.0010491269478570952,0.0008965965558158422,2896,1822,Streptococcus,0.6,CON-080
0.060885046866214,0.05201646239498238,1832,1405,Veillonella,0.6,CON-080
0.01453621966313649,0.015631376518505047,2650,1613,Alistipes,0.6,H1F513818
0.00017564546854933972,0.0001888786730927943,2034,1491,Anaerostipes,0.6,H1F513818
0.0025871373328526267,0.0027815673913881797,3307,1887,Bacteroides,0.6,H1F513818
0.12860601340739647,0.13829060942562665,3108,1734,Bifidobacterium,0.6,H1F513818
0.00040610228898641665,0.0004300547502383494,3108,1818,Blautia,0.6,H1F513818
0.0009564996141924445,0.0010285201184707694,3532,2001,Clostridium,0.6,H1F513818
